,id,createTime,modifyTime,tags,countryType,continents,provinceId,provinceName,provinceShortName,cityName,currentConfirmedCount,confirmedCount,suspectedCount,curedCount,deadCount,comment,sort,operator,locationId,countryShortCode,countryFullName,statisticsData
0,1160214.0,1584429695000.0,1584429695000.0,,2,欧洲,10,意大利,,,23073,27980,0,2749,2158,,0.0,chend,965008,ITA,Italy,https://file1.dxycdn.com/2020/0315/993/3402160517102843054-135.json
1,1160244.0,1584429695000.0,1584429695000.0,,2,亚洲,10,伊朗,,,9142,14991,0,4996,853,,0.0,chend,955007,IRN,Iran (Islamic Republic of),https://file1.dxycdn.com/2020/0315/596/3402160510660568739-135.json
2,,,,,2,亚洲,999,中国,,,9089,81119,0,68799,3231,,,,951001,CHN,China,https://file1.dxycdn.com/2020/0315/383/3402160527840261656-135.json
3,1160216.0,1584429695000.0,1584429695000.0,,2,欧洲,10,西班牙,,,8311,9191,0,571,309,,0.0,chend,965015,ESP,Spain,https://file1.dxycdn.com/2020/0315/812/3402160512807875660-135.json
4,1160201.0,1584429695000.0,1584429695000.0,,2,亚洲,7,韩国,,,7102,8320,0,1137,81,,0.0,chend,951004,KOR,Republic of Korea,https://file1.dxycdn.com/2020/0315/779/3402160514955536234-135.json
5,1160208.0,1584429695000.0,1584429695000.0,,2,欧洲,10,德国,,,6644,6671,0,14,13,,0.0,chend,963003,DEU,Germany,https://file1.dxycdn.com/2020/0315/631/3402160538577680475-135.json
6,1160199.0,1584429695000.0,1584429695000.0,,2,欧洲,5,法国,,,6449,6633,0,36,148,,0.0,chend,961002,FRA,France,https://file1.dxycdn.com/2020/0315/929/3402160538577857318-135.json
7,1160202.0,1584429695000.0,1584429695000.0,,2,北美洲,8,美国,,,4491,4629,0,48,90,,0.0,chend,971002,USA,United States of America,https://file1.dxycdn.com/2020/0315/553/3402160512808052518-135.json
8,1160253.0,1584429695000.0,1584429695000.0,,2,欧洲,10,瑞士,,,2183,2200,0,3,14,,0.0,chend,963008,CHE,Switzerland,https://file1.dxycdn.com/2020/0315/786/3402160525692954837-135.json
9,1160308.0,1584429695000.0,1584429695000.0,,2,欧洲,10,英国,,,1490,1543,0,18,35,,0.0,chend,961007,GBR,The United Kingdom,https://file1.dxycdn.com/2020/0315/364/3402160538577680395-135.json
10,1160264.0,1584429695000.0,1584429695000.0,,2,欧洲,10,荷兰,,,1389,1413,0,0,24,,0.0,chend,961006,NLD,Netherlands,https://file1.dxycdn.com/2020/0315/850/3402160510660568773-135.json
11,1160262.0,1584429695000.0,1584429695000.0,,2,欧洲,10,挪威,,,1328,1331,0,0,3,,0.0,chend,962004,NOR,Norway,https://file1.dxycdn.com/2020/0315/616/3402160534282889764-135.json
12,1160217.0,1584429695000.0,1584429695000.0,,2,欧洲,10,瑞典,,,1112,1119,0,0,7,,0.0,chend,962005,SWE,Sweden,https://file1.dxycdn.com/2020/0315/516/3402160512807875646-135.json
13,1160229.0,1584429695000.0,1584429695000.0,,2,欧洲,10,比利时,,,1079,1085,0,1,5,,0.0,chend,961001,BEL,Belgium,https://file1.dxycdn.com/2020/0315/838/3402160514955359353-135.json
14,1160255.0,1584429695000.0,1584429695000.0,,2,欧洲,10,奥地利,,,1007,1016,0,6,3,,0.0,chend,963001,AUT,Austria,https://file1.dxycdn.com/2020/0315/012/3402160532135229192-135.json
15,1160261.0,1584429695000.0,1584429695000.0,,2,欧洲,10,丹麦,,,909,914,0,1,4,,0.0,chend,962001,DNK,Denmark,https://file1.dxycdn.com/2020/0315/831/3402160489185731552-135.json
16,1160200.0,1584429695000.0,1584429695000.0,,2,亚洲,6,日本,,,654,835,0,157,24,,0.0,chend,951002,JPN,Japan,https://file1.dxycdn.com/2020/0315/220/3402160536430373556-135.json
17,1160198.0,1584429695000.0,1584429695000.0,,2,亚洲,4,马来西亚,,,511,553,0,42,0,,0.0,chend,952007,MYS,Malaysia,https://file1.dxycdn.com/2020/0315/777/3402160506365601260-135.json
18,1160309.0,1584429695000.0,1584429695000.0,,2,亚洲,10,卡塔尔,,,439,439,0,0,0,,0.0,chend,955015,QAT,Qatar,https://file1.dxycdn.com/2020/0315/741/3402160510660391882-135.json
19,1160206.0,1584429695000.0,1584429695000.0,,2,北美洲,10,加拿大,,,416,424,0,4,4,,0.0,chend,971001,CAN,Canada,https://file1.dxycdn.com/2020/0315/505/3402160534282712951-135.json
20,1160256.0,1584429695000.0,1584429695000.0,,2,欧洲,10,希腊,,,348,352,0,0,4,,0.0,chend,965007,GRC,Greece,https://file1.dxycdn.com/2020/0315/800/3402160534282889817-135.json
21,1160205.0,1584429695000.0,1584429695000.0,,2,大洋洲,10,澳大利亚,,,343,375,0,27,5,,0.0,chend,990001,AUS,Australia,https://file1.dxycdn.com/2020/0315/646/3402160532135406038-135.json
22,1160315.0,1584429695000.0,1584429695000.0,,2,欧洲,10,捷克,,,341,344,0,3,0,,0.0,chend,963002,CZE,Czechia,https://file1.dxycdn.com/2020/0315/497/3402160532135229255-135.json
23,1160245.0,1584429695000.0,1584429695000.0,,2,亚洲,10,以色列,,,296,298,0,2,0,,0.0,chend,955009,ISR,Israel,https://file1.dxycdn.com/2020/0315/982/3402160514955536220-135.json
24,1160212.0,1584429695000.0,1584429695000.0,,2,欧洲,10,芬兰,,,271,272,0,1,0,,0.0,chend,962002,FIN,Finland,https://file1.dxycdn.com/2020/0315/473/3402160538577857276-135.json
25,1160456.0,1584429695000.0,1584429695000.0,,2,欧洲,10,斯洛文尼亚,,,252,253,0,0,1,,0.0,chend,965014,SVN,Slovenia,https://file1.dxycdn.com/2020/0315/527/3402160510660391945-135.json
